objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272291000,132.836665975294,11.7506795547746,15.88317,15.52442,14.96945,14.47096,13.98065,0.01038287,0.01459425,0.01195731,0.01374612,0.009686253
1237671262272291000,132.893973979213,11.8185549362536,18.07258,15.99253,15.14754,14.88737,14.7164,0.01237991,0.003703412,0.003494561,0.004150696,0.004714401
1237671262272291000,132.899301872791,11.8143041534968,15.95208,14.57047,15.24648,14.55525,14.07314,0.008207013,0.004826183,0.01233346,0.01408739,0.007090513
1237671125370340000,132.799007843787,11.8491911067916,21.30942,20.20883,19.85702,20.0841,19.5445,0.1040207,0.01849825,0.01831295,0.02977307,0.06004331
1237671125370339800,132.824881091416,11.8737773698674,20.55868,18.7373,18.06507,17.82788,17.76552,0.06011561,0.007936914,0.006521511,0.007001861,0.01605497
1237671125370339600,132.81512771405,11.8489252311954,15.50444,14.45974,14.32815,14.92383,12.93312,0.005071508,0.01179514,0.01072952,0.01202853,0.004368739
1237671125370339600,132.833469168764,11.8504418954576,15.9222,14.57278,14.1412,13.98205,13.94487,0.005171072,0.00303253,0.003017647,0.003030188,0.003639166
1237671125370339600,132.828190417454,11.855185411587,15.39971,14.88735,14.33646,15.12074,12.75242,0.004765892,0.01025158,0.009847414,0.01136905,0.003899902
1237671125370339600,132.821242085484,11.868031718463,21.06994,25.11416,17.04413,16.47128,16.19221,0.08733504,1.089441,0.004484747,0.004206207,0.006959372
1237671125370340000,132.829592976923,11.860508103218,20.96543,19.57418,19.07511,18.91819,18.75448,0.08060061,0.01256841,0.01131256,0.01265846,0.03226646
1237671125370339800,132.808214884273,11.8580116944149,21.92359,19.10036,24.80139,17.07757,16.42543,0.172463,0.0101453,1.128145,0.005261094,0.007660331
1237671125370339600,132.806706242014,11.8550684174662,15.00772,13.80057,13.46558,15.61653,13.33384,0.003953446,0.002948948,0.002932239,0.01276457,0.003421754
1237671125370339600,132.814300019143,11.8660873744474,16.86829,15.333,14.80576,14.61244,14.56151,0.007525414,0.003172498,0.003082887,0.003118059,0.004062152
1237671125370339600,132.805614888542,11.8611379302123,16.04569,14.12547,13.77328,15.75136,12.78968,0.005681044,0.003257115,0.009919369,0.01341824,0.003599286
1237671262272291000,132.8921492172,11.7821473762225,16.23686,14.8165,15.7317,14.29801,14.29413,0.007434034,0.004242237,0.01314933,0.005526282,0.006184676
1237671262272291000,132.905185375862,11.782128893735,16.36428,15.00346,15.97969,14.43702,14.37923,0.008778331,0.005041051,0.01444303,0.006739555,0.007595569
1237671262272291000,132.888957234507,11.7665709767699,17.11728,15.54195,14.94767,14.75243,14.65452,0.008142883,0.003608487,0.003450258,0.004120851,0.004828687
1237671262272291000,132.900018536661,11.775968202893,15.54578,14.83471,14.83588,14.35508,13.3848,0.009035522,0.0120869,0.01171678,0.01298882,0.008318375
1237671262272291000,132.84223040188,11.8077516681213,18.03378,16.118,15.45135,15.15942,14.99611,0.0125841,0.004008249,0.003601369,0.004123059,0.005097897
1237671262272291000,132.846969683987,11.8073640383062,16.54888,14.95552,16.21834,14.07568,13.94695,0.007672822,0.004242241,0.01493135,0.004734968,0.005272833
1237671262272291000,132.844992324663,11.8004776442609,15.77176,13.71137,13.51203,12.48765,12.25682,0.01508263,0.01004459,0.009865774,0.01109052,0.01265882
1237671262272291000,132.869549649744,11.8005934453878,15.98532,14.57298,15.87149,14.3611,13.91849,0.007480492,0.00467257,0.014028,0.01303312,0.006235524
1237671262272291000,132.853500445847,11.8011105675358,16.4305,14.95983,16.47331,14.23735,14.15111,0.006842212,0.003893344,0.01504109,0.00435306,0.004881615
1237671262272291000,132.855273728041,11.8037623773342,16.46983,14.94594,16.07066,14.24911,14.19356,0.00810719,0.004820824,0.01421124,0.005442978,0.006090858
1237671262272291000,132.850342338334,11.8060735035559,15.28691,14.70607,15.63215,14.63763,13.37585,0.008513477,0.01359405,0.01452924,0.01380903,0.00707313
