#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  12  0.115684  3.5051  5.2437 -2.7686 17.8523 14.7198 13.2143 11.9527 11.2323
  13  0.136016  3.5052  5.1737 -2.6278 17.4462 14.3583 12.8617 11.6025 10.8819
  14  0.162485  3.5070  5.1091 -2.4787 16.9792 13.9463 12.4636 11.2211 10.5083
  15  0.188906  3.5114  5.0681 -2.3550 16.5364 13.5599 12.0963 10.8887 10.1946
  16  0.208177  3.5144  5.0414 -2.2740 16.2469 13.3053 11.8549 10.6706  9.9895
  17  0.223796  3.5168  5.0213 -2.2130 16.0305 13.1137 11.6735 10.5066  9.8353
  18  0.238567  3.5190  5.0037 -2.1589 15.8390 12.9434 11.5123 10.3610  9.6988
  19  0.254656  3.5212  4.9862 -2.1040 15.6475 12.7710 11.3493 10.2132  9.5601
  20  0.275692  3.5241  4.9663 -2.0382 15.4194 12.5640 11.1538 10.0361  9.3940
  21  0.293235  3.5264  4.9507 -1.9865 15.2415 12.4015 11.0003  9.8970  9.2636
  22  0.303390  3.5277  4.9409 -1.9568 15.1406 12.3092 10.9129  9.8175  9.1889
  23  0.310055  3.5285  4.9344 -1.9376 15.0768 12.2505 10.8573  9.7665  9.1409
  24  0.314912  3.5290  4.9297 -1.9239 15.0309 12.2082 10.8173  9.7299  9.1064
  25  0.318617  3.5296  4.9259 -1.9131 14.9951 12.1752 10.7861  9.7014  9.0794
  26  0.321495  3.5299  4.9230 -1.9050 14.9684 12.1506 10.7627  9.6798  9.0591
  27  0.323958  3.5302  4.9208 -1.8983 14.9456 12.1295 10.7428  9.6617  9.0421
  28  0.326435  3.5305  4.9183 -1.8912 14.9224 12.1080 10.7225  9.6431  9.0246
  29  0.329421  3.5309  4.9164 -1.8839 14.8971 12.0846 10.7003  9.6231  9.0061
  30  0.333272  3.5313  4.9140 -1.8747 14.8658 12.0554 10.6727  9.5983  8.9829
  31  0.338843  3.5320  4.9112 -1.8621 14.8229 12.0153 10.6348  9.5643  8.9513
  32  0.347933  3.5331  4.9069 -1.8418 14.7531 11.9500 10.5729  9.5092  8.9004
  33  0.431898  3.5475  4.8351 -1.6183 13.9802 11.2162  9.8772  8.8976  8.3429
  34  0.456218  3.5528  4.8115 -1.5499 13.7459 10.9866  9.6583  8.7065  8.1728
  35  0.475163  3.5573  4.7922 -1.4947 13.5582 10.7983  9.4772  8.5517  8.0366
  36  0.490878  3.5615  4.7760 -1.4478 13.3987 10.6351  9.3191  8.4209  7.9223
  37  0.504764  3.5654  4.7621 -1.4060 13.2560 10.4864  9.1744  8.3037  7.8209
  38  0.516226  3.5689  4.7508 -1.3708 13.1356 10.3592  9.0501  8.2046  7.7360
  39  0.526700  3.5724  4.7406 -1.3382 13.0239 10.2397  8.9329  8.1113  7.6571
