#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
   8  0.115045  3.5051  5.2477 -2.7750 17.8715 14.7365 13.2304 11.9688 11.2483
   9  0.134398  3.5051  5.1803 -2.6400 17.4839 14.3911 12.8933 11.6332 10.9124
  10  0.167981  3.5077  5.1040 -2.4565 16.9033 13.8789 12.3989 11.1619 10.4518
  11  0.212414  3.5149  5.0485 -2.2702 16.2299 13.2879 11.8383 10.6581  9.9793
  12  0.244044  3.5197  5.0155 -2.1583 15.8302 12.9324 11.5019 10.3555  9.6964
  13  0.273279  3.5236  4.9894 -2.0669 15.5089 12.6428 11.2281 10.1089  9.4657
  14  0.293700  3.5263  4.9714 -2.0069 15.3013 12.4537 11.0495  9.9473  9.3144
  15  0.304052  3.5276  4.9606 -1.9757 15.1954 12.3571 10.9581  9.8638  9.2359
  16  0.310383  3.5284  4.9529 -1.9561 15.1303 12.2974 10.9017  9.8118  9.1866
  17  0.314827  3.5289  4.9471 -1.9420 15.0838 12.2549 10.8613  9.7745  9.1512
  18  0.318071  3.5293  4.9423 -1.9313 15.0490 12.2230 10.8311  9.7464  9.1244
  19  0.320640  3.5296  4.9382 -1.9224 15.0207 12.1971 10.8066  9.7235  9.1023
  20  0.322984  3.5299  4.9341 -1.9141 14.9936 12.1723 10.7832  9.7015  9.0815
  21  0.324762  3.5300  4.9303 -1.9071 14.9723 12.1529 10.7646  9.6837  9.0641
  22  0.326929  3.5303  4.9273 -1.9002 14.9497 12.1321 10.7449  9.6655  9.0468
  23  0.329870  3.5307  4.9243 -1.8918 14.9218 12.1063 10.7205  9.6431  9.0257
  24  0.330528  3.5306  4.9237 -1.8899 14.9164 12.1013 10.7150  9.6385  9.0212
  25  0.337178  3.5312  4.9198 -1.8744 14.8639 12.0530 10.6687  9.5968  8.9820
  26  0.462616  3.5534  4.8195 -1.5491 13.7362 10.9758  9.6476  8.7008  8.1706
  27  0.480535  3.5578  4.8019 -1.4978 13.5611 10.8000  9.4783  8.5570  8.0443
  28  0.495885  3.5618  4.7869 -1.4531 13.4079 10.6432  9.3266  8.4320  7.9353
  29  0.508986  3.5655  4.7747 -1.4145 13.2749 10.5049  9.1920  8.3235  7.8417
  30  0.519501  3.5688  4.7650 -1.3830 13.1660 10.3899  9.0798  8.2344  7.7657
  31  0.529403  3.5720  4.7562 -1.3531 13.0625 10.2794  8.9715  8.1486  7.6934
  32  0.540761  3.5758  4.7463 -1.3187 12.9438 10.1512  8.8453  8.0496  7.6107
  33  0.555707  3.5810  4.7335 -1.2734 12.7873  9.9806  8.6767  7.9188  7.5025
  34  0.573897  3.5876  4.7180 -1.2174 12.5902  9.7645  8.4620  7.7554  7.3696
  35  0.593549  3.5953  4.7023 -1.1564 12.3810  9.5288  8.2334  7.5788  7.2247
  36  0.614319  3.6040  4.6878 -1.0922 12.1567  9.2736  7.9909  7.3918  7.0720
  37  0.633406  3.6124  4.6750 -1.0328 11.9364  9.0310  7.7623  7.2181  6.9330
  38  0.651908  3.6208  4.6633 -0.9741 11.7349  8.7950  7.5440  7.0499  6.7970
  39  0.678385  3.6335  4.6497 -0.8924 11.3759  8.4402  7.2364  6.8124  6.6031
  40  0.713833  3.6510  4.6344 -0.7851 10.7922  7.9624  6.8496  6.5028  6.3398
  41  0.791155  3.6882  4.6026 -0.5601  9.4019  6.9978  6.1267  5.8859  5.7808
  42  0.818641  3.6997  4.5900 -0.4870  8.9896  6.7137  5.9109  5.6947  5.6054
  43  0.833410  3.7055  4.5826 -0.4483  8.7687  6.5686  5.7994  5.5952  5.5143
  44  0.846580  3.7107  4.5756 -0.4139  8.5730  6.4421  5.7013  5.5075  5.4337
  45  0.858781  3.7155  4.5687 -0.3815  8.3928  6.3259  5.6108  5.4262  5.3589
