objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272291000,132.84223040188,11.8077516681213,18.03378,16.118,15.45135,15.15942,14.99611,0.0125841,0.004008249,0.003601369,0.004123059,0.005097897
1237671262272291000,132.846969683987,11.8073640383062,16.54888,14.95552,16.21834,14.07568,13.94695,0.007672822,0.004242241,0.01493135,0.004734968,0.005272833
1237671262272291000,132.844992324663,11.8004776442609,15.77176,13.71137,13.51203,12.48765,12.25682,0.01508263,0.01004459,0.009865774,0.01109052,0.01265882
1237671262272291000,132.869549649744,11.8005934453878,15.98532,14.57298,15.87149,14.3611,13.91849,0.007480492,0.00467257,0.014028,0.01303312,0.006235524
1237671262272291000,132.853500445847,11.8011105675358,16.4305,14.95983,16.47331,14.23735,14.15111,0.006842212,0.003893344,0.01504109,0.00435306,0.004881615
1237671262272291000,132.855273728041,11.8037623773342,16.46983,14.94594,16.07066,14.24911,14.19356,0.00810719,0.004820824,0.01421124,0.005442978,0.006090858
1237671262272291000,132.850342338334,11.8060735035559,15.28691,14.70607,15.63215,14.63763,13.37585,0.008513477,0.01359405,0.01452924,0.01380903,0.00707313
1237671262272291000,132.876886566226,11.8161943065538,15.74295,14.59027,14.34682,13.22449,13.26883,0.008882807,0.01313417,0.01137474,0.01246364,0.01602871
1237671262272291000,132.83292671972,11.7834316676203,14.84076,14.73989,14.52766,13.96524,13.90927,0.00972637,0.01212123,0.01149001,0.01340984,0.02090005
1237671262272291000,132.850215184941,11.786562207951,15.95352,14.75851,14.94423,14.85851,14.29048,0.009745255,0.005119627,0.01215765,0.01965406,0.008476789
1237671262272291000,132.850479061127,11.7859328142819,15.86,15.75064,15.7772,14.86811,13.93442,0.008570064,0.02214483,0.01378287,0.02254362,0.007723521
1237671262272291000,132.849172777393,11.7877943553645,15.88091,15.94526,15.26614,14.64447,13.47791,0.01018618,0.0186246,0.01292759,0.01728016,0.008948703
1237671262272291000,132.863714808832,11.7924885870886,16.30056,15.14194,15.95734,14.75766,14.7723,0.006978662,0.004126033,0.01335446,0.004751354,0.005765886
1237671262272291000,132.851320751547,11.7912339754924,17.19168,15.63659,16.06926,14.97106,14.8421,0.009683741,0.004664963,0.01387736,0.005396878,0.006160306
1237671262272291000,132.855696905622,11.7928393197954,15.00938,15.16061,15.40391,14.36897,13.63399,0.007963547,0.01222784,0.01313614,0.01321595,0.01838028
1237671262272291000,132.829905649836,11.7985095243089,15.88308,15.31512,15.30868,14.46046,14.05705,0.008200487,0.01693972,0.01228785,0.01329142,0.006880022
1237671125370339600,132.820235023319,11.8274095413456,19.13181,16.84686,15.80754,15.52977,15.1832,0.02298627,0.004109935,0.003529851,0.003855689,0.004841997
1237671125370339600,132.820731741635,11.835928919489,14.80969,14.41638,13.96281,15.12774,13.16706,0.003998571,0.0103378,0.01037195,0.01191644,0.003867914
1237671125370339600,132.823911813172,11.8348723166904,14.96725,13.75455,13.61384,15.88151,13.26806,0.003937589,0.003013574,0.01026511,0.01356876,0.003522961
1237671125370339600,132.827375285842,11.8371938972707,18.25306,16.16063,15.26277,15.08262,14.81885,0.01478807,0.003614191,0.003107755,0.003615546,0.004452949
1237671125370339600,132.826066739733,11.8387813527575,15.84141,14.57427,14.14559,14.03407,13.90314,0.005033698,0.003068078,0.003071331,0.003274169,0.003681445
1237671125370339600,132.832857089774,11.8104342314372,19.4632,17.40442,16.58002,16.25873,16.13262,0.02818341,0.004843197,0.004097521,0.004131982,0.007037976
1237671125370339600,132.845445700647,11.8137062960433,14.6852,14.40829,14.0121,14.71007,13.03274,0.004502591,0.009857253,0.009912074,0.01101766,0.004714787
1237671125370339600,132.830079190772,11.8234200459841,15.30731,14.07719,13.71413,14.90374,13.5643,0.00425516,0.002960301,0.002959486,0.01139219,0.003533629
1237671125370339600,132.827226154244,11.8226236464477,14.83877,14.45756,14.16068,15.01857,13.07728,0.004678125,0.009824365,0.009848503,0.01269252,0.005018164
1237671125370339600,132.840057454946,11.8173456504596,17.18085,15.5893,15.01523,14.82221,14.70437,0.00861973,0.003297317,0.003214122,0.003342608,0.004233652
1237671125370339600,132.832011142307,11.8275164954142,17.82228,16.09002,15.44038,15.28275,15.09156,0.0115845,0.003506657,0.003351024,0.003635033,0.004670679
1237671125370339600,132.833833715815,11.8397642867796,15.39969,14.1716,13.80474,15.24096,13.64815,0.00436877,0.002984476,0.002995886,0.01177271,0.003521618
1237671125370339600,132.829206993171,11.8349116022859,14.67533,14.70118,14.34907,15.02264,12.95212,0.004560622,0.01014582,0.01026229,0.01301015,0.004921861
1237671125370339800,132.812508911501,11.8145567769462,22.29547,18.39513,17.14668,16.54996,16.23112,0.2433034,0.007674548,0.004742073,0.004444567,0.007482773
1237671125370339800,132.818625403639,11.8166980093353,23.01325,18.78561,17.41042,16.81936,16.53058,0.3972858,0.00805753,0.005099192,0.004749053,0.00815168
1237671262272291000,132.815419413752,11.8043581728654,16.0829,14.92788,15.7326,14.48089,14.46807,0.007362269,0.004636577,0.01338736,0.005077009,0.00601221
1237671262272291000,132.821220825842,11.8044786972795,16.39768,14.05546,13.21041,12.24332,12.1479,0.01789256,0.01110403,0.009405385,0.01079581,0.01397877
1237671125370339800,132.821099980727,11.8085681192597,22.184,20.23656,18.88799,17.63982,17.28405,0.2125698,0.01944964,0.01064354,0.006600828,0.01245838
1237671125370339600,132.821027081475,11.8074242420409,20.71427,18.36317,17.05805,16.26044,16.04651,0.06775625,0.006860174,0.004562007,0.004000581,0.006623515
1237671125370339600,132.812676996833,11.8225190662895,15.65143,14.37802,13.98127,14.43562,13.83119,0.004712739,0.003013756,0.002981656,0.01039037,0.003650523
1237671125370339600,132.811702870357,11.8166384535877,17.47872,15.76027,15.14673,14.92426,14.84903,0.009874718,0.003330196,0.003187612,0.003283887,0.004410361
