#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 0.200 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
   3  0.189409  3.5051  4.9871 -2.2549 16.3815 13.4080 11.9332 10.6765  9.9539
   4  0.280584  3.5164  4.8533 -1.8467 14.9746 12.1760 10.7552  9.5957  8.9221
   5  0.417310  3.5472  4.8286 -1.4762 13.3578 10.7544  9.4376  8.5069  7.9670
   6  0.514270  3.5565  4.8255 -1.3762 13.0474 10.4183  9.1258  8.2300  7.7182
   7  0.381143  3.5371  4.9196 -1.7857 14.5278 11.7436 10.3785  9.3471  8.7568
   8  0.349505  3.5331  4.9407 -1.8710 14.8290 12.0186 10.6376  9.5787  8.9719
   9  0.342242  3.5322  4.9439 -1.8887 14.8910 12.0753 10.6911  9.6265  9.0156
  10  0.344025  3.5326  4.9397 -1.8812 14.8694 12.0556 10.6727  9.6083  8.9984
  11  0.350734  3.5329  4.9319 -1.8618 14.8052 11.9957 10.6162  9.5566  8.9492
  12  0.361272  3.5345  4.9215 -1.8329 14.7079 11.9064 10.5306  9.4785  8.8759
  13  0.380452  3.5366  4.9051 -1.7828 14.5389 11.7498 10.3828  9.3444  8.7503
  14  0.729909  3.5949  4.6262 -0.8792 11.3899  8.7786  7.5722  6.8729  6.4940
  15  0.776615  3.6061  4.5855 -0.7518 10.9428  8.3360  7.1506  6.5111  6.1793
  16  0.547537  3.5724  4.7573 -1.3293 12.9605 10.2143  8.9198  8.0780  7.6254
  17  0.557172  3.5760  4.7462 -1.2972 12.8540 10.0950  8.8021  7.9858  7.5487
  18  0.561848  3.5786  4.7406 -1.2796 12.7918 10.0188  8.7245  7.9381  7.5100
  19  0.567122  3.5819  4.7377 -1.2626 12.7284  9.9416  8.6461  7.8887  7.4717
  20  0.567230  3.5830  4.7395 -1.2600 12.7171  9.9199  8.6224  7.8787  7.4682
  21  0.567950  3.5839  4.7402 -1.2564 12.7040  9.8988  8.6000  7.8644  7.4597
  22  0.576437  3.5876  4.7339 -1.2301 12.6153  9.7985  8.4994  7.7868  7.3976
  23  0.594831  3.5940  4.7194 -1.1755 12.4271  9.5906  8.2931  7.6284  7.2679
  24  0.625759  3.6046  4.6938 -1.0828 12.1027  9.2352  7.9392  7.3595  7.0489
  25  0.660719  3.6188  4.6663 -0.9752 11.7149  8.8056  7.5117  7.0409  6.7956
  26  0.700247  3.6363  4.6442 -0.8571 11.2960  8.3259  7.0713  6.6975  6.5136
  27  0.667693  3.6237  4.6581 -0.9377 11.7804  8.6969  7.4067  6.9453  6.7156
  28  0.704760  3.6419  4.6429 -0.8272 11.3213  8.1935  6.9291  6.6063  6.4646
  29  0.805595  3.6882  4.6030 -0.5418 10.0345  6.9532  5.8795  5.7842  5.7833
  30  1.722946  4.0731  4.2715  1.8251 -4.1669 -2.7215 -1.4448 -0.5428  0.0542
  31  1.037638  3.7714  4.5288 -0.0313  6.4119  5.1014  4.6512  4.5603  4.5650
  32  1.053476  3.7752  4.5188 -0.0006  6.2962  5.0150  4.5801  4.4939  4.5018
  33  1.067355  3.7780  4.5088  0.0262  6.2099  4.9388  4.5182  4.4371  4.4479
  34  1.081081  3.7808  4.4991  0.0526  6.1202  4.8676  4.4571  4.3784  4.3928
  35  1.092825  3.7830  4.4902  0.0742  6.0566  4.8134  4.4098  4.3333  4.3495
  36  1.112408  3.7870  4.4769  0.1124  5.9077  4.7011  4.3153  4.2463  4.2670
  37  1.136504  3.7922  4.4604  0.1602  5.7233  4.5629  4.1991  4.1368  4.1643
  38  1.160834  3.7973  4.4431  0.2076  5.5489  4.4281  4.0840  4.0293  4.0624
  39  1.179885  3.8013  4.4275  0.2433  5.4342  4.3305  3.9991  3.9494  3.9863
  40  1.187269  3.8011  4.4208  0.2549  5.4255  4.3081  3.9763  3.9270  3.9629
  41  1.211913  3.8060  4.4019  0.3006  5.2621  4.1777  3.8645  3.8222  3.8632
  42  1.240572  3.8111  4.3809  0.3542  5.0579  4.0162  3.7349  3.7027  3.7518
  43  1.213847  3.8059  4.3974  0.3039  5.2669  4.1678  3.8640  3.8220  3.8644
  44  1.224385  3.8081  4.3894  0.3231  5.2416  4.1495  3.8164  3.7617  3.7963
  45  1.633442  3.8875  4.0918  1.0873  2.6720  2.0234  1.9424  1.9886  2.1005
  46  2.280917  3.9964  3.6988  2.1291 -0.5198 -0.9512 -0.5655 -0.3116 -0.0487
  47  2.135384  3.9605  3.8533  1.7664  0.8660  0.0639  0.3410  0.5623  0.7963
  48  1.845457  3.9150  4.1158  1.2150  2.6515  1.6421  1.6859  1.8160  1.9818
  49  1.848319  3.9178  4.1413  1.2009  2.7051  1.6773  1.7281  1.8651  2.0352
  50  1.876280  3.9246  4.1441  1.2289  2.6539  1.6006  1.6690  1.8191  1.9949
  51  2.011949  3.9465  4.1061  1.3871  2.2389  1.1668  1.3009  1.4889  1.6879
  52  2.034736  3.9495  4.0998  1.4131  2.1714  1.0959  1.2402  1.4346  1.6369
