#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  12  0.124209  3.5051  5.2127 -2.7068 17.6754 14.5621 13.0603 11.7993 11.0784
  13  0.147583  3.5056  5.1421 -2.5591 17.2397 14.1752 12.6838 11.4291 10.7101
  14  0.177846  3.5094  5.0850 -2.4060 16.7220 13.7216 12.2495 11.0264 10.3237
  15  0.202374  3.5136  5.0513 -2.2996 16.3371 13.3845 11.9300 10.7392 10.0543
  16  0.220064  3.5162  5.0282 -2.2295 16.0886 13.1648 11.7218 10.5507  9.8770
  17  0.235581  3.5185  5.0096 -2.1721 15.8847 12.9835 11.5503 10.3959  9.7320
  18  0.251228  3.5207  4.9922 -2.1179 15.6946 12.8132 11.3892 10.2500  9.5950
  19  0.272161  3.5236  4.9721 -2.0515 15.4642 12.6045 11.1920 10.0714  9.4275
  20  0.290315  3.5260  4.9556 -1.9974 15.2780 12.4347 11.0316  9.9259  9.2912
  21  0.301736  3.5274  4.9447 -1.9639 15.1640 12.3304 10.9329  9.8362  9.2069
  22  0.308656  3.5283  4.9377 -1.9436 15.0960 12.2679 10.8738  9.7821  9.1558
  23  0.313807  3.5289  4.9324 -1.9287 15.0466 12.2225 10.8308  9.7426  9.1185
  24  0.317647  3.5293  4.9284 -1.9177 15.0099 12.1886 10.7987  9.7131  9.0906
  25  0.320681  3.5298  4.9250 -1.9086 14.9795 12.1607 10.7724  9.6889  9.0679
  26  0.323197  3.5301  4.9223 -1.9013 14.9560 12.1389 10.7517  9.6698  9.0498
  27  0.325609  3.5304  4.9202 -1.8947 14.9338 12.1184 10.7323  9.6522  9.0334
  28  0.328370  3.5307  4.9177 -1.8873 14.9087 12.0953 10.7103  9.6323  9.0145
  29  0.332061  3.5311  4.9154 -1.8784 14.8787 12.0673 10.6840  9.6085  8.9924
  30  0.337150  3.5317  4.9126 -1.8667 14.8386 12.0299 10.6485  9.5765  8.9626
  31  0.345121  3.5327  4.9086 -1.8486 14.7772 11.9724 10.5940  9.5278  8.9175
  32  0.440445  3.5489  4.8295 -1.5982 13.9103 11.1498  9.8154  8.8421  8.2923
  33  0.459006  3.5533  4.8109 -1.5446 13.7272 10.9679  9.6403  8.6912  8.1597
  34  0.477594  3.5577  4.7919 -1.4904 13.5429 10.7827  9.4619  8.5395  8.0263
  35  0.493234  3.5619  4.7761 -1.4440 13.3844 10.6201  9.3045  8.4097  7.9130
  36  0.506793  3.5658  4.7627 -1.4032 13.2451 10.4748  9.1630  8.2954  7.8143
  37  0.517991  3.5693  4.7519 -1.3690 13.1277 10.3506  9.0416  8.1986  7.7316
  38  0.528472  3.5727  4.7418 -1.3365 13.0163 10.2313  8.9245  8.1056  7.6531
  39  0.539948  3.5767  4.7309 -1.3005 12.8933 10.0978  8.7931  8.0024  7.5667
  40  0.554052  3.5817  4.7179 -1.2561 12.7404  9.9306  8.6274  7.8742  7.4608
  41  0.570286  3.5879  4.7032 -1.2043 12.5589  9.7305  8.4286  7.7230  7.3379
  42  0.587221  3.5947  4.6885 -1.1496 12.3718  9.5190  8.2228  7.5643  7.2078
  43  0.603661  3.6017  4.6749 -1.0962 12.1926  9.3128  8.0277  7.4113  7.0809
  44  0.619156  3.6086  4.6631 -1.0455 12.0087  9.1078  7.8331  7.2632  6.9622
  45  0.634710  3.6159  4.6520 -0.9944 11.8188  8.8976  7.6368  7.1140  6.8425
  46  0.650522  3.6237  4.6415 -0.9423 11.6201  8.6824  7.4419  6.9636  6.7202
  47  0.665905  3.6315  4.6321 -0.8916 11.3991  8.4629  7.2518  6.8164  6.5996
  48  0.680350  3.6391  4.6241 -0.8436 11.1621  8.2516  7.0749  6.6776  6.4843
  49  0.694149  3.6464  4.6165 -0.7981 10.9143  8.0492  6.9110  6.5462  6.3722
  50  0.707284  3.6535  4.6096 -0.7549 10.6638  7.8573  6.7605  6.4228  6.2642
  51  0.719492  3.6601  4.6032 -0.7146 10.4169  7.6791  6.6250  6.3097  6.1636
  52  0.725953  3.6636  4.5999 -0.6934 10.2842  7.5858  6.5551  6.2506  6.1103
  53  0.732361  3.6671  4.5965 -0.6723 10.1538  7.4942  6.4867  6.1923  6.0574
  54  0.738736  3.6705  4.5930 -0.6514 10.0250  7.4045  6.4199  6.1350  6.0051
  55  0.745065  3.6738  4.5893 -0.6308  9.8981  7.3171  6.3548  6.0788  5.9536
  56  0.751364  3.6770  4.5857 -0.6103  9.7728  7.2319  6.2910  6.0233  5.9027
  57  0.757621  3.6802  4.5817 -0.5899  9.6495  7.1484  6.2284  5.9687  5.8524
  58  0.763823  3.6834  4.5777 -0.5698  9.5277  7.0665  6.1668  5.9149  5.8029
  59  0.769951  3.6864  4.5735 -0.5498  9.4089  6.9868  6.1067  5.8622  5.7545
  60  0.776027  3.6895  4.5694 -0.5302  9.2939  6.9090  6.0480  5.8103  5.7068
  61  0.782038  3.6925  4.5651 -0.5108  9.1854  6.8341  5.9908  5.7597  5.6601
  62  0.787976  3.6953  4.5608 -0.4919  9.0822  6.7615  5.9353  5.7102  5.6145
  63  0.793861  3.6981  4.5564 -0.4732  8.9820  6.6915  5.8812  5.6617  5.5699
  64  0.799667  3.7007  4.5520 -0.4550  8.8825  6.6235  5.8286  5.6146  5.5266
  65  0.805424  3.7033  4.5475 -0.4371  8.7835  6.5577  5.7774  5.5687  5.4843
  66  0.811154  3.7058  4.5429 -0.4195  8.6862  6.4937  5.7274  5.5237  5.4428
  67  0.816813  3.7082  4.5383 -0.4023  8.5915  6.4316  5.6787  5.4799  5.4024
  68  0.822392  3.7105  4.5337 -0.3854  8.5000  6.3714  5.6313  5.4371  5.3627
  69  0.827869  3.7128  4.5290 -0.3688  8.4113  6.3129  5.5851  5.3952  5.3239
